
20000, 10, 3, 2, 11.320000,
20000, 10, 7, 2, 22.470000, 
20000, 10, 15, 2, 45.540000, 
20000, 10, 20, 2, 54.150000, 
20000, 25, 3, 2, 12.510000, 
20000, 25, 7, 2, 22.000000, 
20000, 25, 15, 2, 41.950000, 
20000, 25, 20, 2, 35.980000, 
20000, 50, 3, 2, 12.730000, 
20000, 50, 7, 2, 22.860000, 
20000, 50, 15, 2, 42.330000, 
20000, 50, 20, 2, 53.960000, 
20000, 75, 3, 2, 11.390000, 
20000, 75, 7, 2, 25.100000, 
20000, 75, 15, 2, 34.780000, 
20000, 75, 20, 2, 53.140000, 
20000, 100, 3, 2, 25.180000, 
20000, 100, 7, 2, 24.140000, 
20000, 100, 15, 2, 43.010000, 
20000, 100, 20, 2, 54.760000, 
4000, 20, 3, 2, 0.360000, 
4000, 20, 7, 2, 0.910000, 
4000, 20, 15, 2, 1.130000, 
4000, 20, 20, 2, 2.010000, 
4000, 25, 3, 2, 0.380000, 
4000, 25, 7, 2, 0.640000, 
4000, 25, 15, 2, 2.280000, 
4000, 25, 20, 2, 1.460000, 
4000, 50, 3, 2, 0.760000, 
4000, 50, 7, 2, 0.640000, 
4000, 50, 15, 2, 2.320000, 
4000, 50, 20, 2, 1.480000, 
4000, 75, 3, 2, 0.770000, 
4000, 75, 7, 2, 0.640000, 
4000, 75, 15, 2, 1.170000, 
4000, 75, 20, 2, 2.970000, 
4000, 100, 3, 2, 0.430000, 
4000, 100, 7, 2, 0.680000, 
4000, 100, 15, 2, 2.370000, 
4000, 100, 20, 2, 1.500000, 
20000, 10, 3, 4, 5.560000, 
20000, 10, 7, 4, 9.860000, 
20000, 10, 15, 4, 18.610000, 
20000, 10, 20, 4, 23.220000, 
20000, 25, 3, 4, 5.530000, 
20000, 25, 7, 4, 10.090000, 
20000, 25, 15, 4, 18.880000, 
20000, 25, 20, 4, 24.380000, 
20000, 50, 3, 4, 5.670000, 
20000, 50, 7, 4, 10.060000, 
20000, 50, 15, 4, 18.810000, 
20000, 50, 20, 4, 24.320000, 
20000, 75, 3, 4, 5.810000, 
20000, 75, 7, 4, 10.350000, 
20000, 75, 15, 4, 18.670000, 
20000, 75, 20, 4, 24.840000, 
20000, 100, 3, 4, 5.820000, 
20000, 100, 7, 4, 10.480000, 
20000, 100, 15, 4, 18.770000, 
20000, 100, 20, 4, 24.490000, 
50000, 20, 3, 4, 43.430000, 
50000, 20, 7, 4, 73.150000, 
50000, 20, 15, 4, 137.710000, 
50000, 20, 20, 4, 193.500000, 
50000, 25, 3, 4, 45.800000, 
50000, 25, 7, 4, 79.970000, 
50000, 25, 15, 4, 152.720000, 
50000, 25, 20, 4, 194.570000, 
50000, 50, 3, 4, 31.710000, 
50000, 50, 7, 4, 81.710000, 
50000, 50, 15, 4, 138.350000, 
50000, 50, 20, 4, 193.660000, 
50000, 75, 3, 4, 38.810000, 
50000, 75, 7, 4, 73.170000, 
50000, 75, 15, 4, 144.670000, 
50000, 75, 20, 4, 196.080000, 
50000, 100, 3, 4, 41.670000, 
50000, 100, 7, 4, 68.690000, 
50000, 100, 15, 4, 147.090000, 
50000, 100, 20, 4, 156.220000, 
32000, 10, 3, 8, 6.490000, 
32000, 10, 7, 8, 11.850000, 
32000, 10, 15, 8, 21.620000, 
32000, 10, 20, 8, 29.010000, 
32000, 25, 3, 8, 6.520000, 
32000, 25, 7, 8, 11.760000, 
32000, 25, 15, 8, 22.480000, 
32000, 25, 20, 8, 28.430000, 
32000, 50, 3, 8, 6.870000, 
32000, 50, 7, 8, 12.030000, 
32000, 50, 15, 8, 21.870000, 
32000, 50, 20, 8, 28.810000, 
32000, 75, 3, 8, 7.080000, 
32000, 75, 7, 8, 12.360000, 
32000, 75, 15, 8, 22.070000, 
32000, 75, 20, 8, 28.930000, 
32000, 100, 3, 8, 7.160000, 
32000, 100, 7, 8, 12.520000, 
32000, 100, 15, 8, 23.030000, 
32000, 100, 20, 8, 29.590000, 
64000, 20, 3, 8, 29.760000, 
64000, 20, 7, 8, 54.610000, 
64000, 20, 15, 8, 105.460000, 
64000, 20, 20, 8, 138.790000, 
64000, 25, 3, 8, 30.730000, 
64000, 25, 7, 8, 56.020000, 
64000, 25, 15, 8, 106.410000, 
64000, 25, 20, 8, 138.740000, 
64000, 50, 3, 8, 31.030000, 
64000, 50, 7, 8, 55.850000, 
64000, 50, 15, 8, 106.900000, 
64000, 50, 20, 8, 139.110000, 
64000, 75, 3, 8, 31.670000, 
64000, 75, 7, 8, 57.100000, 
64000, 75, 15, 8, 107.270000, 
